Code;Sample Point;Type;Territory;Municipality;XETRS89;YETRS89;ZETRS89;Water range;Water range type;Basin;Section;Subgroup
SP20;Sondeo Etxano-A (Piezometría);SONDEOS;Bizkaia;Amorebieta-Etxano;523988;4785954;0;Sinclinorio de Bizkaia;No aplicable;Ibaizabal;Ibaizabal 6;Aguas (Piezometría)
SP21;Sondeo Aralar (Piezometría);SONDEOS;Gipuzkoa;Zaldibia;571214;4761406;0;Aralar;No aplicable;Zaldivia;Zaldibia 1;Aguas (Piezometría)
SP22;Sondeo DTH-1;SONDEOS;Gipuzkoa;Gabiria;557259;4765345;0;Troya;No aplicable;Estanda;Estanda 3;Aguas (Piezometría)
SP23;Sondeo Lendoño;SONDEOS;Bizkaia;Urduña/Orduña;497130;4762336;0;Mena-Orduña;No aplicable;Nerbioi;Nerbioi 4;Aguas (Piezometría)
SP24;Sondeo Jaizkibel-5;SONDEOS;Gipuzkoa;Hondarribia;594554;4802419;0;Jaizkibel;No aplicable;Bidasoa intracomunitario;Bidasoa drenaje costa;Aguas (Piezometría)
SP25;Sondeo Metxika-2 (Piezometría);SONDEOS;Bizkaia;Errigoiti;523141;4798205;0;Sinclinorio de Bizkaia;No aplicable;Mape;Mape 1;Aguas (Piezometría)
SP26;Sondeo Aguas Frias;SONDEOS;Bizkaia;Galdames;491611;4790016;0;Anticlinorio sur;No aplicable;Barbadun;Galdames 2;Aguas (Piezometría)
SP27;Sondeo Nanclares-6;SONDEOS;Araba/Álava;Iruña Oka/Iruña de Oca;515389;4740877;0;Calizas de Subijana;No aplicable;Zadorra;Zadorra 10;Aguas (Piezometría)
SP29;Sondeo Andagoia (Piezometría);SONDEOS;Araba/Álava;Kuartango;507687;4752194;0;Kuartango-Salvatierra;No aplicable;Baia;Badillo 3;Aguas (Piezometría)
SP30;Sondeo Carralogroño (Piezometría);SONDEOS;Araba/Álava;Laguardia;535655;4709707;0;Laguardia;No aplicable;Ebro;Laguardia Humedal;Aguas (Piezometría)
SP31;Sondeo Makinetxe (Piezometría);SONDEOS;Gipuzkoa;Beasain;563272;4767002;0;Anticlinorio sur;No aplicable;Estanda;Estanda 3;Aguas (Piezometría)
SP32;Sondeo Inurritza-3 (Piezometría);SONDEOS;Gipuzkoa;Zarautz;568422;4793080;0;Zumaia-Irun;No aplicable;Oria intracomunitario;Oria costa;Aguas (Piezometría)
SP33;Piezómetro Zubillaga-S4 (Piezometría);SONDEOS;Araba/Álava;Lantarón;501232;4728963;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Piezometría)
ZA-1;La Parra (Pozo CHE);SONDEOS;Araba/Álava;Zambrana;509048;4722825;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde el río Zadorra hasta el río Inglares.;Aguas (Fisicoquímica)
ZA-2;Quiñones (ZA-2);SONDEOS;Araba/Álava;Zambrana;509634;4722733;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde el río Zadorra hasta el río Inglares.;Aguas (Fisicoquímica)
ZA-3;Madero (ZA-3);SONDEOS;Araba/Álava;Zambrana;510026;4722855;0;Sierra de Cantabria;No aplicable;Ebro;Zona drenante a Río Ebro desde el río Zadorra hasta el río Inglares.;Aguas (Fisicoquímica)
ZA-4;El Campo (ZA-4);SONDEOS;Araba/Álava;Zambrana;509743;4722520;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde el río Zadorra hasta el río Inglares.;Aguas (Fisicoquímica)
ZA-6;La Pauleja (ZA-6);MANANTIALES;Araba/Álava;Zambrana;510379;4723404;0;Sinclinal de Trebiño;No aplicable;Ebro;Zona drenante a Río Ebro desde el río Zadorra hasta el río Inglares.;Aguas (Fisicoquímica)
