Code;Sample Point;Type;Territory;Municipality;XETRS89;YETRS89;ZETRS89;Water range;Water range type;Basin;Section;Subgroup
SC34;Sondeo Makinetxe (Calidad);SONDEOS;Gipuzkoa;Beasain;563272;4767002;0;Anticlinorio sur;No aplicable;Estanda;Estanda 3;Aguas (Fisicoquímica)
SC35;Manantial Orue (Calidad);MANANTIALES;Bizkaia;Igorre;520069;4779175;0;Aramotz;No aplicable;Arratia;Indusi 2;Aguas (Fisicoquímica)
SC36;Manantial Aldabide (Calidad);MANANTIALES;Bizkaia;Orozko;514407;4769870;0;Itxina;No aplicable;Altube;Arnauri 1;Aguas (Fisicoquímica)
SC37;Manantial Grazal;MANANTIALES;Bizkaia;Güeñes;495419;4784842;0;Anticlinorio sur;No aplicable;Kadagua;Kadagua 6;Aguas (Fisicoquímica)
SC38;Manantial La Teta;MANANTIALES;Bizkaia;Urduña/Orduña;497347;4760399;0;Mena-Orduña;No aplicable;Nerbioi;Nerbioi 3;Aguas (Fisicoquímica)
SC39;Manantial Arditurri (Calidad);MANANTIALES;Gipuzkoa;Oiartzun;596573;4793017;0;Macizos paleozoicos;No aplicable;Oiartzun;Arditurri 1;Aguas (Fisicoquímica)
SC40;Manantial Artzu (Calidad);MANANTIALES;Gipuzkoa;Hondarribia;596058;4804369;0;Jaizkibel;No aplicable;Bidasoa intracomunitario;Bidasoa drenaje costa;Aguas (Fisicoquímica)
SC41;Sondeo Metxika-2 (Calidad);SONDEOS;Bizkaia;Errigoiti;523142;4798206;0;Sinclinorio de Bizkaia;No aplicable;Mape;Mape 1;Aguas (Fisicoquímica)
SC42;Manantial Beneras;MANANTIALES;Gipuzkoa;Arrasate/Mondragón;540968;4770014;0;Anticlinorio sur;No aplicable;Aramaio;Aramaio 1;Aguas (Fisicoquímica)
SC43;Manantial Aguas Frías;MANANTIALES;Bizkaia;Galdames;491609;4790016;0;Anticlinorio sur;No aplicable;Barbadun;Galdames 2;Aguas (Fisicoquímica)
SC44;Manantial Urbaltza;MANANTIALES;Gipuzkoa;Aretxabaleta;542996;4762170;0;Aranzazu;No aplicable;Oñati;Urkulu 3;Aguas (Fisicoquímica)
SC45;Manantial Gorbea;MANANTIALES;Araba/Álava;Zigoitia;520991;4761342;0;Gorbea;No aplicable;Zalla;Zalla 2;Aguas (Fisicoquímica)
SC46;Manantial Zuazo;MANANTIALES;Araba/Álava;Kuartango;508645;4746855;0;Kuartango-Salvatierra;No aplicable;Baia;Baias 8;Aguas (Fisicoquímica)
SC47;Manantial Osma;MANANTIALES;Araba/Álava;Valdegovía/Gaubea;494949;4749171;0;Calizas de Losa;No aplicable;Humedo - Omecillo;Tumecillo 2;Aguas (Fisicoquímica)
SC48;Manantial Igoroin;MANANTIALES;Araba/Álava;Arraia-Maeztu;549192;4736616;0;Sierra de Urbasa;No aplicable;Ega;Igoroin 1;Aguas (Fisicoquímica)
SC49;Manantial Onueba;MANANTIALES;Araba/Álava;Elvillar/Bilar;537477;4715239;0;Laguardia;No aplicable;Ebro;San Gines 2;Aguas (Fisicoquímica)
SC51;Pozo Kimera;SONDEOS;Bizkaia;Gatika;508523;4802219;0;Anticlinorio norte;No aplicable;Butroe;Butroe 2;Aguas (Fisicoquímica)
SC52;Manantial Pozozabale;MANANTIALES;Bizkaia;Erandio;504334;4799092;0;Sinclinorio de Bizkaia;No aplicable;Larrainazubi;Larrainazubi 2;Aguas (Fisicoquímica)
SC53;Sondeo Andagoia (Calidad);SONDEOS;Araba/Álava;Kuartango;507688;4752194;0;Kuartango-Salvatierra;No aplicable;Baia;Badillo 3;Aguas (Fisicoquímica)
SC54;Manantial Ugarana;MANANTIALES;Araba/Álava;Barrundia;538550;4756631;0;Altube-Urkilla;No aplicable;Barrundia;Ugarana 1;Aguas (Fisicoquímica)
SC55;Manantial La Muera;MANANTIALES;Bizkaia;Urduña/Orduña;499628;4761876;0;Mena-Orduña;No aplicable;Nerbioi;Nerbioi 4;Aguas (Fisicoquímica)
SC56;Sondeo Inurritza-3 (Calidad);SONDEOS;Gipuzkoa;Zarautz;568423;4793081;0;Zumaia-Irun;No aplicable;Oria intracomunitario;Oria costa;Aguas (Fisicoquímica)
