Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Temperatura del agua;-;=;11.6;ºC;;-;-;0
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.4;U. pH.;;-;-;0
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;791;µS/cm;;-;-;0
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;=;48;mg/l;;-;-;0
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
ZA-4;02/03/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;=;0.11;mg/l;;-;-;0
