Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);Temperatura del agua;-;=;11.5;ºC;;-;-;0
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.3;U. pH.;;-;-;0
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);Amonio;-;=;0.08;mg/l;;-;-;0
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;=;23;mg/l;;-;-;0
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
S-5;03/03/2022;10:05;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;1185;µS/cm;;-;-;0
