Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);Temperatura del agua;-;=;12.7;ºC;;-;-;0
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;7.4;U. pH.;;-;-;0
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;815;µS/cm;;-;-;0
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
ZA-6;03/03/2022;09:15;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;90;mg/l;;-;-;0
