Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Triclorometano (cloroformo);-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Bromodiclorometano;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Dibromoclorometano;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Bromoformo-Tribromometano;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);1.1 Dicloroeteno;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Trans-1.2 Dicloroeteno;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Cis-1.2 Dicloroeteno;-;=;13.2;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Tricloroetileno;-;=;2.2;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Tetracloroetileno (percloroetileno);-;=;4.6;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);1.1.2.2 Tetracloroetano;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);1.1.2 Tricloroetano;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);1.1.1-Tricloroetano-Metilcloroformo;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);1.2-Dicloroetano;-;<;0.5;µg/l;;-;-;0
CT05;23/03/2022;11:10;SONDEOS;Aguas (Fisicoquímica);Diclorometano;-;<;0.5;µg/l;;-;-;0
