Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;8.1;U. pH.;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;343;µS/cm;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Sodio;-;=;5.29;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Potasio;-;=;1.03;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Calcio;-;=;62.9;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Magnesio;-;=;3.94;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Cloruros;-;=;7.6;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Sulfatos;-;=;18.2;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Bicarbonatos;-;=;173;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;5.3;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.05;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.05;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;=;0.07;mg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Arsénico;-;<;1;µg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Cadmio;-;<;0.5;µg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Mercurio;-;<;0.2;µg/l;;-;-;0
SC17;14/02/2022;12:35;MANANTIALES;Aguas (Fisicoquímica);Plomo;-;<;1;µg/l;;-;-;0
