Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.4;U. pH.;;-;-;0
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;970;µS/cm;;-;-;0
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);Temperatura del agua;-;=;12.6;ºC;;-;-;0
S-2;03/03/2022;11:05;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;=;39;mg/l;;-;-;0
