Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Calcio;-;=;49;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Sodio;-;=;5.2;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Residuo seco;-;<;200;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;267;µS/cm;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;8.1;U. pH.;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Temperatura del agua;-;=;11.8;ºC;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Cloruros;-;=;7.38;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Sulfatos;-;=;51;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Bicarbonatos;-;=;105;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;2.88;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Magnesio;-;=;3.2;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
SC43;12/01/2022;10:00;MANANTIALES;Aguas (Fisicoquímica);Potasio;-;=;0.8;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Sulfatos;-;=;36;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Cloruros;-;=;8.5;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Magnesio;-;=;2.7;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Calcio;-;=;47;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Potasio;-;=;0.66;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Sodio;-;=;5.7;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Residuo seco;-;<;200;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;240;µS/cm;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;8;U. pH.;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Temperatura del agua;-;=;11.8;ºC;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Bicarbonatos;-;=;123;mg/l;;-;-;0
SC43;08/03/2022;10:30;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;3.3;mg/l;;-;-;0
