Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SP05;31/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.48;m;;-;-;0
SP05;30/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.48;m;;-;-;0
SP05;29/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.08;m;;-;-;0
SP05;28/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-7.12;m;;-;-;0
SP05;28/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.54;m;;-;-;0
SP05;27/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.78;m;;-;-;0
SP05;27/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.44;m;;-;-;0
SP05;26/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-7.11;m;;-;-;0
SP05;26/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.42;m;;-;-;0
SP05;25/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-7.31;m;;-;-;0
SP05;25/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.43;m;;-;-;0
SP05;24/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-7.54;m;;-;-;0
SP05;24/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.93;m;;-;-;0
SP05;23/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-7.19;m;;-;-;0
SP05;23/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.36;m;;-;-;0
SP05;22/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.24;m;;-;-;0
SP05;22/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.22;m;;-;-;0
SP05;21/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.01;m;;-;-;0
SP05;21/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-2.93;m;;-;-;0
SP05;20/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.88;m;;-;-;0
SP05;20/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-2.86;m;;-;-;0
SP05;19/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.97;m;;-;-;0
SP05;19/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-2.93;m;;-;-;0
SP05;18/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.46;m;;-;-;0
SP05;18/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.15;m;;-;-;0
SP05;17/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.03;m;;-;-;0
SP05;17/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.96;m;;-;-;0
SP05;16/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.46;m;;-;-;0
SP05;16/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.11;m;;-;-;0
SP05;15/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.81;m;;-;-;0
SP05;15/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.05;m;;-;-;0
SP05;14/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.96;m;;-;-;0
SP05;14/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.67;m;;-;-;0
SP05;13/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.98;m;;-;-;0
SP05;13/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.66;m;;-;-;0
SP05;12/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.16;m;;-;-;0
SP05;12/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.63;m;;-;-;0
SP05;11/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.2;m;;-;-;0
SP05;11/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.53;m;;-;-;0
SP05;10/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.85;m;;-;-;0
SP05;10/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.08;m;;-;-;0
SP05;09/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.97;m;;-;-;0
SP05;09/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.22;m;;-;-;0
SP05;08/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.68;m;;-;-;0
SP05;08/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.73;m;;-;-;0
SP05;07/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-5.29;m;;-;-;0
SP05;07/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.75;m;;-;-;0
SP05;06/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.65;m;;-;-;0
SP05;06/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.44;m;;-;-;0
SP05;05/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-6.48;m;;-;-;0
SP05;05/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.52;m;;-;-;0
SP05;04/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.44;m;;-;-;0
SP05;04/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.54;m;;-;-;0
SP05;03/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.5;m;;-;-;0
SP05;03/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.6;m;;-;-;0
SP05;02/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-3.71;m;;-;-;0
SP05;02/01/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-4.2;m;;-;-;0
SP05;01/02/2022;00:00;SONDEOS;Aguas (Piezometría);Nivel piezométrico medio diario;-;=;-2.9;m;;-;-;0
