Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Residuo seco;-;=;390;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;522;µS/cm;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Potasio;-;=;1.1;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Calcio;-;=;120;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Magnesio;-;=;6.6;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Cloruros;-;=;21;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Sulfatos;-;=;7;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Bicarbonatos;-;=;353;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;=;6.7;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.3;U. pH.;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Temperatura del agua;-;=;16.1;ºC;;-;-;0
SC04;18/01/2022;14:15;SONDEOS;Aguas (Fisicoquímica);Sodio;-;=;11;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Cloruros;-;=;22;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Magnesio;-;=;6.1;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Calcio;-;=;110;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Potasio;-;=;1.1;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Sodio;-;=;10;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Residuo seco;-;=;350;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;490;µS/cm;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.2;U. pH.;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Temperatura del agua;-;=;15.9;ºC;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;<;0.031;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;=;6.8;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Bicarbonatos;-;=;352;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Sulfatos;-;=;7.6;mg/l;;-;-;0
SC04;03/03/2022;13:00;SONDEOS;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
