Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;3.2;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Bicarbonatos;-;=;139;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Sulfatos;-;=;12.1;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Cloruros;-;=;6.5;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Magnesio;-;=;1.77;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Calcio;-;=;48.1;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Potasio;-;=;0.8;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Sodio;-;=;4.29;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;272;µS/cm;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;8;U. pH.;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Plomo;-;<;1;µg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Mercurio;-;<;0.2;µg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Cadmio;-;<;0.5;µg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Arsénico;-;<;1;µg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;<;0.05;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.05;mg/l;;-;-;0
SC42;15/02/2022;10:10;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.05;mg/l;;-;-;0
