Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;560;µS/cm;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Sodio;-;=;4.87;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Plomo;-;<;1;µg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Mercurio;-;<;0.2;µg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Cadmio;-;<;0.5;µg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Arsénico;-;<;1;µg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;<;0.05;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.05;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.05;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;<;0.5;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Bicarbonatos;-;=;263;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Sulfatos;-;=;78.3;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Cloruros;-;=;7.3;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Magnesio;-;=;19.4;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Calcio;-;=;91.1;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);Potasio;-;=;2.07;mg/l;;-;-;0
SC31;11/01/2022;13:30;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.6;U. pH.;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;559;µS/cm;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.5;U. pH.;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Sodio;-;=;5.07;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Potasio;-;=;0.79;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Calcio;-;=;95;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Magnesio;-;=;19.9;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Cloruros;-;=;6.9;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Sulfatos;-;=;76;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Bicarbonatos;-;=;260;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;<;0.5;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.05;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.05;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;<;0.05;mg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Arsénico;-;<;1;µg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Cadmio;-;<;0.5;µg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Plomo;-;<;1;µg/l;;-;-;0
SC31;08/03/2022;12:55;SONDEOS;Aguas (Fisicoquímica);Mercurio;-;<;0.2;µg/l;;-;-;0
